X1,X2,X3,X4,X5,X6,X7,X8,Y1
0.76,661.5,416.5,122.5,7,3,0.1,3,33.28
0.76,661.5,416.5,122.5,7,4,0.1,3,32.33
0.76,661.5,416.5,122.5,7,5,0.1,3,33.24
0.74,686,245,220.5,3.5,2,0.1,3,10.39
0.74,686,245,220.5,3.5,3,0.1,3,10.34
0.74,686,245,220.5,3.5,4,0.1,3,10.35
0.74,686,245,220.5,3.5,5,0.1,3,10.38
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68
0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
0.69,735,294,220.5,3.5,2,0.1,3,11.22
0.69,735,294,220.5,3.5,3,0.1,3,11.16
0.69,735,294,220.5,3.5,4,0.1,3,11.1
0.69,735,294,220.5,3.5,5,0.1,3,11.14
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61
0.64,784,343,220.5,3.5,2,0.1,3,15.16
0.64,784,343,220.5,3.5,3,0.1,3,15.36
0.64,784,343,220.5,3.5,4,0.1,3,15.12
0.64,784,343,220.5,3.5,5,0.1,3,15.36
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73
0.98,514.5,294,110.25,7,2,0.1,4,24.38
0.98,514.5,294,110.25,7,3,0.1,4,24.23
0.98,514.5,294,110.25,7,4,0.1,4,24.04
0.98,514.5,294,110.25,7,5,0.1,4,24.32
0.9,563.5,318.5,122.5,7,2,0.1,4,29.06
0.9,563.5,318.5,122.5,7,3,0.1,4,28.05
0.9,563.5,318.5,122.5,7,4,0.1,4,28.86
0.9,563.5,318.5,122.5,7,5,0.1,4,29.79
0.86,588,294,147,7,2,0.1,4,26.44
0.86,588,294,147,7,3,0.1,4,25.37
0.86,588,294,147,7,4,0.1,4,26.33
0.86,588,294,147,7,5,0.1,4,27.03
0.82,612.5,318.5,147,7,2,0.1,4,23.8
0.82,612.5,318.5,147,7,3,0.1,4,22.8
0.82,612.5,318.5,147,7,4,0.1,4,23.59
0.82,612.5,318.5,147,7,5,0.1,4,24.24
0.79,637,343,147,7,2,0.1,4,36.86
0.79,637,343,147,7,3,0.1,4,35.89
0.79,637,343,147,7,4,0.1,4,35.45
0.79,637,343,147,7,5,0.1,4,37.1
0.76,661.5,416.5,122.5,7,2,0.1,4,33.08
0.76,661.5,416.5,122.5,7,3,0.1,4,32.38
0.76,661.5,416.5,122.5,7,4,0.1,4,33.09
0.76,661.5,416.5,122.5,7,5,0.1,4,32.31
0.74,686,245,220.5,3.5,2,0.1,4,10.08
0.74,686,245,220.5,3.5,3,0.1,4,10.15
0.74,686,245,220.5,3.5,4,0.1,4,10.07
0.74,686,245,220.5,3.5,5,0.1,4,10.14
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72
0.69,735,294,220.5,3.5,2,0.1,4,11.18
0.69,735,294,220.5,3.5,3,0.1,4,11.22
0.69,735,294,220.5,3.5,4,0.1,4,11.07
0.69,735,294,220.5,3.5,5,0.1,4,11.2
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33
0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43
0.64,784,343,220.5,3.5,2,0.1,4,15.4
0.64,784,343,220.5,3.5,3,0.1,4,15.19
0.64,784,343,220.5,3.5,4,0.1,4,15.32
0.64,784,343,220.5,3.5,5,0.1,4,15.16
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13
0.98,514.5,294,110.25,7,2,0.1,5,24.35
0.98,514.5,294,110.25,7,3,0.1,5,24.33
0.98,514.5,294,110.25,7,4,0.1,5,24.03
0.98,514.5,294,110.25,7,5,0.1,5,24.26
0.9,563.5,318.5,122.5,7,2,0.1,5,29.83
0.9,563.5,318.5,122.5,7,3,0.1,5,29.08
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03
0.9,563.5,318.5,122.5,7,5,0.1,5,29.02
0.86,588,294,147,7,2,0.1,5,27.03
0.86,588,294,147,7,3,0.1,5,26.45
0.86,588,294,147,7,4,0.1,5,25.36
0.86,588,294,147,7,5,0.1,5,26.45
0.82,612.5,318.5,147,7,2,0.1,5,24.37
0.82,612.5,318.5,147,7,3,0.1,5,23.89
0.82,612.5,318.5,147,7,4,0.1,5,22.89
0.82,612.5,318.5,147,7,5,0.1,5,23.86
0.79,637,343,147,7,2,0.1,5,37.03
0.79,637,343,147,7,3,0.1,5,36.71
0.79,637,343,147,7,4,0.1,5,36.77
0.79,637,343,147,7,5,0.1,5,35.48
0.76,661.5,416.5,122.5,7,2,0.1,5,32.31
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21
0.76,661.5,416.5,122.5,7,4,0.1,5,32.46
0.76,661.5,416.5,122.5,7,5,0.1,5,33.27
0.74,686,245,220.5,3.5,2,0.1,5,10.47
0.74,686,245,220.5,3.5,3,0.1,5,10.37
0.74,686,245,220.5,3.5,4,0.1,5,10.34
0.74,686,245,220.5,3.5,5,0.1,5,10.39
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78
0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69
0.69,735,294,220.5,3.5,2,0.1,5,11.21
0.69,735,294,220.5,3.5,3,0.1,5,11.14
0.69,735,294,220.5,3.5,4,0.1,5,11.11
0.69,735,294,220.5,3.5,5,0.1,5,11.16
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22
0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34
0.64,784,343,220.5,3.5,2,0.1,5,15.16
0.64,784,343,220.5,3.5,3,0.1,5,15.37
0.64,784,343,220.5,3.5,4,0.1,5,15.12
0.64,784,343,220.5,3.5,5,0.1,5,15.36
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62
0.98,514.5,294,110.25,7,2,0.25,1,28.15
0.98,514.5,294,110.25,7,3,0.25,1,28.15
0.98,514.5,294,110.25,7,4,0.25,1,28.37
0.98,514.5,294,110.25,7,5,0.25,1,28.41
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84
0.9,563.5,318.5,122.5,7,5,0.25,1,32
0.86,588,294,147,7,2,0.25,1,29.54
0.86,588,294,147,7,3,0.25,1,30.05
0.86,588,294,147,7,4,0.25,1,29.6
0.86,588,294,147,7,5,0.25,1,28.66
0.82,612.5,318.5,147,7,2,0.25,1,26.84
0.82,612.5,318.5,147,7,3,0.25,1,27.27
0.82,612.5,318.5,147,7,4,0.25,1,26.97
0.82,612.5,318.5,147,7,5,0.25,1,26.19
0.79,637,343,147,7,2,0.25,1,38.67
0.79,637,343,147,7,3,0.25,1,40.03
0.79,637,343,147,7,4,0.25,1,39.86
0.79,637,343,147,7,5,0.25,1,39.04
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91
0.76,661.5,416.5,122.5,7,5,0.25,1,36.43
0.74,686,245,220.5,3.5,2,0.25,1,12.43
0.74,686,245,220.5,3.5,3,0.25,1,12.5
0.74,686,245,220.5,3.5,4,0.25,1,12.41
0.74,686,245,220.5,3.5,5,0.25,1,12.45
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57
0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57
0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63
0.69,735,294,220.5,3.5,2,0.25,1,12.78
0.69,735,294,220.5,3.5,3,0.25,1,12.93
0.69,735,294,220.5,3.5,4,0.25,1,12.73
0.69,735,294,220.5,3.5,5,0.25,1,12.72
0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18
0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17
0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18
0.64,784,343,220.5,3.5,2,0.25,1,17.5
0.64,784,343,220.5,3.5,3,0.25,1,17.35
0.64,784,343,220.5,3.5,4,0.25,1,17.52
0.64,784,343,220.5,3.5,5,0.25,1,17.37
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
0.98,514.5,294,110.25,7,2,0.25,2,28.67
0.98,514.5,294,110.25,7,3,0.25,2,28.57
0.98,514.5,294,110.25,7,4,0.25,2,28.18
